scenario,horizon,year,heat_kwh,elec_kwh,cost_chf,t_min,h_below0,h_below5,t_max,h_above26
A do nothing,now,2026,0,894.5,241.5,-14.8,2118,3873,23.4,0
B electric,now,2026,6192.3,7086.7,1913.4,6.3,0,0,23.4,0
C wood only,now,2026,3997.0,894.5,711.7,-14.8,1128,2230,23.4,0
C2 wood+frost,now,2026,6223.7,4376.5,1504.2,6.8,0,0,23.4,0
P pellet stove,now,2026,6223.7,1283.6,1061.9,6.8,0,0,23.4,0
D +solar thermal,now,2026,6192.3,6928.0,1870.6,6.3,0,0,23.4,0
E heat pump,now,2026,6287.1,3683.1,994.4,7.0,0,0,23.4,0
F PV half roof,now,2026,6287.1,3683.1,208.8,7.0,0,0,23.4,0
F2 PV full roof,now,2026,6287.1,3683.1,-273.7,7.0,0,0,23.4,0
Ref always 20C,now,2026,12137.6,15860.6,4282.4,6.3,0,0,23.6,0
A do nothing,+10y,2036,0,894.5,241.5,-14.2,1723,3733,23.7,0
B electric,+10y,2036,5844.7,6739.2,1819.6,6.4,0,0,23.7,0
C wood only,+10y,2036,3867.3,894.5,696.5,-14.2,942,2133,23.7,0
C2 wood+frost,+10y,2036,5874.9,4122.2,1424.4,6.9,0,0,23.7,0
P pellet stove,+10y,2036,5874.9,1272.9,1019.0,6.9,0,0,23.7,0
D +solar thermal,+10y,2036,5844.7,6584.4,1777.8,6.4,0,0,23.7,0
E heat pump,+10y,2036,5937.0,3514.0,948.8,7.0,0,0,23.7,0
F PV half roof,+10y,2036,5937.0,3514.0,168.0,7.0,0,0,23.7,0
F2 PV full roof,+10y,2036,5937.0,3514.0,-311.6,7.0,0,0,23.7,0
Ref always 20C,+10y,2036,11658.5,15381.5,4153.0,6.4,0,0,23.8,0
A do nothing,+20y,2046,0,894.5,241.5,-13.6,1422,3596,24.0,0
B electric,+20y,2046,5505.7,6400.2,1728.1,6.4,0,0,24.1,0
C wood only,+20y,2046,3737.1,894.5,681.2,-13.6,806,2001,24.1,0
C2 wood+frost,+20y,2046,5534.9,3876.6,1347.0,6.9,0,0,24.1,0
P pellet stove,+20y,2046,5534.9,1259.6,976.3,6.9,0,0,24.1,0
D +solar thermal,+20y,2046,5505.7,6248.7,1687.1,6.4,0,0,24.1,0
E heat pump,+20y,2046,5595.8,3354.1,905.6,7.0,0,0,24.1,0
F PV half roof,+20y,2046,5595.8,3354.1,129.8,7.0,0,0,24.1,0
F2 PV full roof,+20y,2046,5595.8,3354.1,-345.5,7.0,0,0,24.1,0
Ref always 20C,+20y,2046,11180.8,14903.8,4024.0,6.4,0,0,24.1,0
A do nothing,+30y,2056,0,894.5,241.5,-13.1,1210,3290,24.4,0
B electric,+30y,2056,5175.6,6070.1,1638.9,6.4,0,0,24.4,0
C wood only,+30y,2056,3606.4,894.5,665.8,-13.1,692,1724,24.4,0
C2 wood+frost,+30y,2056,5203.7,3639.9,1272.0,6.9,0,0,24.4,0
P pellet stove,+30y,2056,5203.7,1242.7,933.6,6.9,0,0,24.4,0
D +solar thermal,+30y,2056,5175.6,5921.8,1598.9,6.4,0,0,24.4,0
E heat pump,+30y,2056,5263.5,3203.5,864.9,7.0,0,0,24.4,0
F PV half roof,+30y,2056,5263.5,3203.5,95.1,7.0,0,0,24.4,0
F2 PV full roof,+30y,2056,5263.5,3203.5,-376.8,7.0,0,0,24.4,0
Ref always 20C,+30y,2056,10705.0,14428.0,3895.6,6.4,0,0,24.4,0
A do nothing,+40y,2066,0,894.5,241.5,-12.5,935,3066,24.7,0
B electric,+40y,2066,4857.2,5751.7,1552.9,6.5,0,0,24.7,0
C wood only,+40y,2066,3475.3,894.5,650.4,-12.5,598,1602,24.7,0
C2 wood+frost,+40y,2066,4884.3,3414.9,1200.1,7.0,0,0,24.7,0
P pellet stove,+40y,2066,4884.3,1223.3,891.7,7.0,0,0,24.7,0
D +solar thermal,+40y,2066,4857.2,5607.3,1514.0,6.5,0,0,24.7,0
E heat pump,+40y,2066,4943.1,3062.8,827.0,7.0,0,0,24.7,0
F PV half roof,+40y,2066,4943.1,3062.8,62.9,7.0,0,0,24.7,0
F2 PV full roof,+40y,2066,4943.1,3062.8,-406.1,7.0,0,0,24.7,0
Ref always 20C,+40y,2066,10232.1,13955.1,3767.9,6.5,0,0,24.7,0
A do nothing,+50y,2076,0,894.5,241.5,-11.9,711,2807,25.0,0
B electric,+50y,2076,4568.9,5463.4,1475.1,6.5,0,0,25.1,0
C wood only,+50y,2076,3343.7,894.5,634.9,-11.9,514,1498,25.1,0
C2 wood+frost,+50y,2076,4595.1,3220.1,1136.4,7.0,0,0,25.1,0
P pellet stove,+50y,2076,4595.1,1204.0,853.2,7.0,0,0,25.1,0
D +solar thermal,+50y,2076,4568.9,5323.3,1437.3,6.5,0,0,25.1,0
E heat pump,+50y,2076,4652.6,2936.5,792.8,7.0,0,0,25.1,0
F PV half roof,+50y,2076,4652.6,2936.5,33.5,7.0,0,0,25.1,0
F2 PV full roof,+50y,2076,4652.6,2936.5,-432.8,7.0,0,0,25.1,0
Ref always 20C,+50y,2076,9763.0,13486.0,3641.2,6.5,0,0,25.1,0
